Participant,Stimuli,Attention,MW,NumFix,AvgFixDur,NumBlink,AvgBlinkDur,AvgPupDia,VarPupDia,OffStimFram,AvgSacAmp,AvgFixDisp
1Y,India_3,0,1,24,319.44444444444446,2,116.66666666666669,4.414197347568393,0.1962741268769304,4,4.481180058877115,0.2292841921760199
1Y,NYC_1,1,0,27,316.6666666666667,0,0.0,4.014375381469726,0.1342575689032926,1,4.720660170723864,0.2943310539304103
1Y,London_1,1,0,29,296.55172413793105,1,150.0,3.5972009390945563,0.0670522823463057,2,3.6588751258113055,0.2666234554940345
1Y,Brazil_3,0,1,33,228.7878787878788,3,122.22222222222224,4.0222919970959214,0.055378397233522,3,7.182611821900199,0.3020159881942822
1Y,India_1,0,1,22,406.8181818181818,0,0.0,4.379109990676778,0.0411792213793776,0,3.3105234936875223,0.2767169733088783
1Y,Mexico_3,0,1,32,209.37500000000003,7,107.14285714285714,4.626254183032137,0.140544399779487,8,5.3324969606170685,0.2120498292854026
1Y,Italy_1,0,1,28,286.3095238095238,1,83.33333333333334,4.60599279000271,0.0844562772776964,2,5.938894580720917,0.2149434534295713
1Y,NYC_4,0,1,25,284.6666666666667,4,308.33333333333337,4.02093458636817,0.0433844056442066,0,4.02250939912493,0.16363294730129
1Y,HongKong_1,0,1,17,503.9215686274511,1,83.33333333333334,4.083246746578732,0.0645474808479206,2,6.628254756140162,0.2655534111490702
1Y,Singapore_1,1,0,24,358.3333333333333,0,0.0,4.485105780593488,0.0650175457961076,0,5.57998298033358,0.1600102776605493
1Y,Vietnam_1,1,0,24,323.61111111111114,2,108.33333333333334,4.626416052329991,0.1105923389258865,6,6.191869901751513,0.2089424185822511
1Y,Sweden_2,0,1,24,306.25000000000006,4,95.83333333333334,4.940191756538723,0.123519690324726,4,4.9569536497756,0.1541529927262638
1Y,France_1,0,1,22,409.09090909090907,0,0.0,4.640220231078691,0.0794858194418321,0,2.9892790457905267,0.1918757537521318
1Y,Italy_4,0,1,22,343.93939393939394,5,126.66666666666669,3.443526373969184,0.0551150305782179,0,5.772625636292798,0.1676054130351353
1Y,Mexico_1,0,1,18,455.55555555555554,4,125.0,4.291618266858553,0.0841847244318205,2,4.42380206569883,0.2517040130891795
1Y,HongKong_3,1,0,12,787.5,1,83.33333333333334,3.7307598723082975,0.0277793633220401,0,3.3550843755544424,0.0801905962478408
1Y,Russia_1,0,1,8,1139.5833333333337,3,72.22222222222223,3.984043640031667,0.0959687657534422,2,5.060172970351382,0.1020437581839992
1Y,Sweden_4,0,1,20,450.83333333333337,0,0.0,3.500845625593856,0.055169143527316,3,3.927270995854704,0.2311014037036464
1Y,Singapore_3,0,1,27,290.7407407407408,3,116.66666666666669,3.648554484049479,0.0778524762051705,5,5.341537353058135,0.1634533759335595
1Y,London_3,0,1,22,361.3636363636364,2,141.66666666666669,4.399813307656182,0.194456108958878,0,4.931003901507764,0.2017277790056826
1Y,Russia_3,0,1,14,651.1904761904763,1,133.33333333333334,4.166624523344494,0.0512854536415661,0,2.474787901897734,0.0950000853280287
1Y,France_3,1,0,22,387.1212121212122,0,0.0,3.716957321932483,0.0155772050166242,18,6.33366795699979,0.1903099276652843
1Y,Brazil_1,0,1,29,268.96551724137936,2,175.0,3.7878145998623705,0.0548486994214399,6,4.075885538929835,0.1831458090720382
1Y,Vietnam_2,0,1,29,247.1264367816092,4,125.0,4.026193231922399,0.0860507138536308,9,6.968055869248795,0.234519790370092
2U,Sweden_4,1,0,29,243.1034482758621,3,83.33333333333334,3.700527822560277,0.0873234128483618,46,6.044574403128975,0.3207332609789244
2U,India_3,1,0,31,238.70967741935488,2,116.66666666666669,3.079309499365652,0.2124751553170501,49,4.872220171983799,0.2290605035655957
2U,Mexico_1,0,1,31,233.3333333333333,5,123.33333333333334,3.639527100260996,0.0884839859574053,29,4.233047879443756,0.2417949504297954
2U,France_1,1,0,23,358.69565217391306,2,91.66666666666669,3.585800041367121,0.1671216631657276,6,5.514450101078076,0.3138193964087649
2U,Mexico_3,1,0,29,279.3103448275862,1,100.0,3.160816199125585,0.1509866563368812,19,4.309991437230184,0.2234345419130014
